"rating","text","ts","bot_percentage","profileimage"
"0.3","RT @Sports_NDTV: #CommonwealthGames2018: India's #DeepakLather wins weightlifting bronze medal in men's 69kg category\n\n#GC2018 #CWG18 \n\nhtt…","1522977119.0","",""
"0.0","""Bomb to Brisbane"" read label on bag at airport. Grandma meant Bombay\nhttps://t.co/G26IZBwTpS https://t.co/hBI3VV912l","1522976987.0","",""
"0.1","RT @Gadgets360: LG Mobile Days Sale on Amazon Offers Discounts on These Smartphones\nhttps://t.co/LWB2gZbAG4","1522976786.0","",""
"0.0","RT @carandbike: The @MSArenaOfficial #Vitara is above the 4-metre mark and competes in the compact SUV space, with the likes of @HyundaiInd…","1522976712.0","",""
"0.0","Rahul Gandhi and the neat trick with the garland: Video is viral https://t.co/pOdSNZqUa5 https://t.co/DdmYwVl96C","1522976482.0","",""
"0.5","Top stories now on https://t.co/Fbzw6mR9Q5 \n\n#NDTVTopStories https://t.co/GUD4WhPSSi","1522976386.0","",""
"-0.4","""All behind me now"" Commonwealth Games dancer laughs off viral bum flash\nhttps://t.co/bjR5ERdQNI https://t.co/CokoYHL4ux","1522976341.0","",""
"0.2","China says it is ready to pay ""any cost"" in trade war with US https://t.co/jKiTFKL6O0 https://t.co/6Nv2nQwRpx","1522976279.0","",""
"0.0","A Japanese woman tried to save a man's life in the sumo ring, but was ordered away for being 'unclean'… https://t.co/ajHIsLWIYR","1522976184.0","",""
"-0.04444444444444443","RT @Sports_NDTV: #GC2018: India's #DeepakLather fails in his third Clean and Jerk attempt to lift 162 kg, still in contention for a bronze…","1522976173.0","",""
"0.0","Mumbai warned of traffic jams ahead of mega BJP event https://t.co/NUQRyq7xUk https://t.co/1akLikGlA8","1522976134.0","",""
"0.13333333333333333","#SalmanKhan to spend 2nd night in jail, bail hearing tomorrow\n\nHere are the top 10 updates on Salman Khan… https://t.co/dt1XB4ZGui","1522975983.0","",""
"0.0","RT @Gadgets360: Xiaomi Mi 7 to Sport an Under-Display Fingerprint Sensor, CEO Hints https://t.co/tGjsTv1nbR","1522975879.0","",""
"0.35000000000000003","RT @Sports_NDTV: India vs Scotland, Badminton Mixed Team Event, Group A: Satwik Rankireddy and Chirag Chandrashekhar Shetty win the first g…","1522975871.0","",""
"-0.5","""You'll be sorry"": Russia to Britain in showdown at UN over spy poisoning https://t.co/3RoDn7P4uc https://t.co/a7wtbC9IHL","1522975749.0","",""
"0.0","#SanjitaChanu gives India 2nd gold in weightlifting https://t.co/4YihR8DNFf\n\n#CommonwealthGames2018 #CG2018 https://t.co/0B4h00uPHV","1522975608.0","",""
"0.0","RT @Sports_NDTV: #GC2018, Women's Pool A hockey match: #GurjitKaur scores a brace as dominant India beat Malaysia 4-1\n\n#GC2018hockey\n\nLive:…","1522975554.0","",""
"0.0","In this Cambodian town, tarantulas may go off menu. Here's why https://t.co/kLF3K62dcs https://t.co/Vok01Q8Y9H","1522975542.0","",""
"0.37222222222222223","RT @Sports_NDTV: #GC2018: India's #DeepakLather successfully lifts 159 kg in his second Clean and Jerk attempt\n\n#GC2018weightlifting\n\nLive:…","1522975431.0","",""
"0.13333333333333333","Salman Khan to spend another night in Jodhpur Central Jail, bail plea hearing tomorrow \n\nRead more here:… https://t.co/zfI8aEbAtm","1522975227.0","",""
"0.13333333333333333","#SalmanKhan to spend 2nd night in jail, bail hearing tomorrow\n\nHere are the top 10 updates on Salman Khan… https://t.co/O93MEqgY0W","1522975094.0","",""
"0.0","RT @Sports_NDTV: #GC2018, Women's Pool A hockey match: Rani Rampal scores as India lead 3-1 against Malaysia\n\n#GC2018hockey\n\nLive: https://…","1522975058.0","",""
"0.5","This is a news alert. More details to follow.  #JustIn #NDTVNews https://t.co/V0iFqTdiPW","1522974978.0","",""
"0.45555555555555555","RT @Sports_NDTV: #GC2018: India's #DeepakLather successfully lifts 155 kg in his first Clean and Jerk attempt\n\n#GC2018Weightlifting\n\nLive:…","1522974938.0","",""
"0.0","Firecrackers ban case: Supreme Court adjourned the matter for further hearing till May 8. Central government has so… https://t.co/QSeWGDj9Y0","1522974611.0","",""
"0.0","US approves $1.31 billion artillery sale to Saudi Arabia https://t.co/ljg88aUWom https://t.co/nkUVQcHztW","1522974600.0","",""
"0.4","RT @Gadgets360: What if We Paid for Facebook - Instead of Letting It Spy on Us for Free? https://t.co/r2aXAY5EiB","1522974569.0","",""
"0.2","#JustIn | BJP MPs to observe fast on April 12 to protest the impasse in parliament ""caused"" by Congress: Union Mini… https://t.co/jEs8nioDvm","1522974562.0","",""
"0.0","RT @Sports_NDTV: India vs Scotland, Badminton Mixed Team Event, Group A: The pair of Ashwini Ponappa and N Sikki Reddy give India an unassa…","1522974471.0","",""
"0.0","Lead story now on https://t.co/Fbzw6mR9Q5: https://t.co/U6sIWr8yQB\n\n#NDTVLeadStory #SalmanKhan… https://t.co/wFWuoS68KQ","1522974410.0","",""
"0.13636363636363635","#BudgetSession | Rajya Sabha adjourned indefinitely \n\nTrack LIVE updates: https://t.co/uHWqpMjpo1 https://t.co/lqK0a6c2A3","1522974396.0","",""
"0.21212121212121213","RT @Gadgets360: In this week's entertainment guide: A Quiet Place, Legion, @KaceyMusgraves' new album, and more https://t.co/07zlN8rC09 htt…","1522974306.0","",""
"0.5","This is a news alert. More details to follow.  #JustIn #NDTVNews https://t.co/dFXe610fSi","1522974265.0","",""
"0.0","RT @moviesndtv: Why Manushi Chhillar Was Asked About Kareena Kapoor And What She Said In Response https://t.co/xsNvHKhAwe https://t.co/Zyoa…","1522974220.0","",""
"-0.4","""All behind me now"" Commonwealth Games dancer laughs off viral bum flash\nhttps://t.co/bjR5ERdQNI\n\n#GC2018 #CWG2018 https://t.co/UGBhTrks6e","1522974062.0","",""
"0.0","#BudgetSession | Lok Sabha adjourned indefinitely","1522973974.0","",""
"0.0","RT @Sports_NDTV: #GC2018, Women's Pool A hockey match: India lead Malaysia 2-1 at the end of the third quarter\n\n#GC2018hockey\n\nLive: https:…","1522973777.0","",""
"0.0","RT @Sports_NDTV: #CommonwealthGames 2018: India boxer #NamanTanwar storms into men's 91 kg quarters\n\n#GC2018 #CWG2018 \n\nREAD: https://t.co/…","1522973673.0","",""
"0.25","RT @moviesndtv: Review: “@irrfank is riveting in #Blackmail, a thriller about an urban marriage gone kaput,” writes Saibal Chatterjee – 2.5…","1522973491.0","",""
"0.0","RT @Gadgets360: Apple's Redesigned Mac Pro Will Only Launch in 2019\nhttps://t.co/jswn0qOW9b","1522973483.0","",""
"-0.05000000000000001","RT @Sports_NDTV: India vs Scotland, Badminton Mixed Team Event, Group A: The pair of Ashwini Ponappa and Sikki Reddy take the first game 21…","1522973479.0","",""
"0.0","RT @Sports_NDTV: #GC2018, Women's Pool A hockey match: #GurjitKaur scores her second as India lead Malaysia 2-1\n\n#GC2018hockey\n\nLive: https…","1522973374.0","",""
"-0.26666666666666666","At least 30 students fall ill following breakfast at school canteen in Noida https://t.co/HfhtJfkSRQ https://t.co/JZ83vO27Xe","1522973131.0","",""
"0.2","Opposition parties responsible for violence during Dalit stir: Keshav Prasad Maurya https://t.co/HdXbbM0Ajt https://t.co/IR5uV1qP0d","1522972862.0","",""
"-0.3","RT @Sports_NDTV: #GC2018: India's Vikram Malhotra loses 6-11, 11-8, 6-11, 6-11 to England's Nick Matthew in the #GC2018Squash Men's Singles…","1522972814.0","",""
"0.0","Lalu Yadav's son Tej Pratap to marry Aishwarya Roy. Details here https://t.co/rgIzD9JhxY https://t.co/I00TKwvyX2","1522972801.0","",""
"0.0","#Apple said to be developing screens that let you control your phone without tapping or swiping… https://t.co/rWzlMWYzUz","1522972797.0","",""
"0.5","Top stories now on https://t.co/Fbzw6mR9Q5 \n\n#NDTVTopStories https://t.co/owSECx2sPd","1522972770.0","",""
"0.0","Nepal Prime Minister KP Sharma Oli arrives in India on a three day state visit, received by Home Minister Rajnath S… https://t.co/EfcKVGkjU3","1522972698.0","",""
"0.0","RT @Sports_NDTV: #GC2018, Women's Pool A hockey match: India lead Malaysia 1-0 at half-time\n\n#GC2018hockey\n\nLive: https://t.co/PmLNYihNxP h…","1522972483.0","",""
"0.0","RT @Sports_NDTV: India take 2-0 lead in mixed team badminton event against Scotland as #KidambiSrikanth outclasses Kieran Merrilles 21-18,…","1522972471.0","",""
"0.0","RT @Gadgets360: Amazon's Lord of the Rings Will Reportedly Cost a Billion in Five Seasons https://t.co/0Uk416jUNy https://t.co/JUY8WDRy7M","1522972463.0","",""
"0.0","⚡️ Salman Khan, convicted in #BlackBuckPoachingCase, has been put up in barrack number 2 of #JodhpurCentralJail \n\nhttps://t.co/oj3tQnYe1y","1522972357.0","",""
"0.0","#BlackBuckPoachingCase | Police said Salman Khan's family could meet him once a week, but given that his bail reque… https://t.co/3w8bXjHtrj","1522972133.0","",""
"0.29545454545454547","RT @Sports_NDTV: #GC2018: In his second Snatch attempt, India's #DeepakLather successfully lifts 136 kg\n\n#GC2018Weightlifting \n\nLive: https…","1522972038.0","",""
"0.2","China ready to pay 'any cost' in trade war: Ministry of Commerce (AFP)","1522971776.0","",""
"0.0","""Yesterday I got threatening SMSes and internet calls warning me not to appear for Salman Khan in bail hearing toda… https://t.co/I90rwP3Fb0","1522971773.0","",""
"0.35714285714285715","Telugu Desam Party (TDP) MPs protest in parliament premises demanding special category status for Andhra Pradesh (A… https://t.co/HsHpFdp9yy","1522971721.0","",""
"0.19318181818181818","RT @Sports_NDTV: #GC2018: India's #DeepakLather lifts 132 kg in his first Snatch attempt\n\n#GC2018Weightlifting \n\nLive: https://t.co/PmLNYih…","1522971701.0","",""
"-0.03333333333333335","RT @Sports_NDTV: India vs Scotland, Badminton Mixed Team Event, Group A: #KidambiSrikanth wins the opening game 21-18 vs Kieran Merrilees.…","1522971604.0","",""
"0.3181818181818182","2018 Commonwealth Games | Here’s a look at latest medal tally on Day 2 of #GC2018 #CWG2018\n\nTrack LIVE updates here… https://t.co/cX5rexsQim","1522971503.0","",""
"0.2","RT @Gadgets360: Xiaomi Redmi 5 Available in Open Sale on Amazon India Today https://t.co/chQ0ps84It","1522971379.0","",""
"0.0","RT @Gadgets360: RBI Bars Regulated Entities From Dealing in Cryptocurrencies Like Bitcoin https://t.co/lgVWyXpeQL","1522971370.0","",""
"0.1","Why Donald Trump went after Jeff Bezos: Two billionaires across a cultural divide\nhttps://t.co/aEQF0QK1Nd https://t.co/84zUeeRZaK","1522971256.0","",""
"0.3","In Delhi, robbers loot cash, jewellery worth Rs. 35 lakh at gunpoint https://t.co/n1GjC4YrGW https://t.co/Ygh6NfcKUi","1522971174.0","",""
"-0.25","""Zombie-like"" raccoons are terrorising residents of this small town https://t.co/gQ8cou2E5j https://t.co/tmtRrY7fm5","1522971041.0","",""
"0.075","Salman Khan, on first night in jail, refused 'dal-roti' dinner: report\nhttps://t.co/XxZ6NdlkHO https://t.co/thw69j8dLb","1522970926.0","",""
"0.0","After aborted ""#FakeNews"" order, centre turns focus on online media https://t.co/COkVH5YvQA https://t.co/c65cXUlppC","1522970862.0","",""
"-0.30000000000000004","RT @Sports_NDTV: #GC2018: England's Nick Matthew beats India's #VikramMalhotra 11-6 in game one of the #GC2018Squash Men's Singles Round of…","1522970655.0","",""
"0.0","RT @carandbike: .@audisport drops yet another teaser of the e-Tron Vision Gran Turismo ahead of its official unveil on April 9.\n\nhttps://t.…","1522970377.0","",""
"-0.2","RT @Gadgets360: Facebook's Sandberg Says 'a Few' Advertisers Paused Spending https://t.co/zSwtOSW1Fh","1522970295.0","",""
"-0.2","RT @Sports_NDTV: #GC2018: Vikram Malhotra takes on Nick Matthew in Squash Men's Singles Round of 16\n\n#GC2018Squash\n\nLive: https://t.co/PmLN…","1522970231.0","",""
"0.13636363636363635","RT @moviesndtv: #Quantico3 Trailer: @priyankachopra's 'New Beginning' Is Not What You Think It Is https://t.co/nRjJzOIUHt https://t.co/EpBo…","1522970174.0","",""
"0.1","RT @Sports_NDTV: #GC2018, Women's Pool A hockey match: Gurjit Kaur scores as India take an early 1-0 lead against Malaysia\n\n#GC2018hockey…","1522970131.0","",""
"0.125","RT @Sports_NDTV: India vs Scotland, Badminton Mixed Team Event, Group A: #SainaNehwal clinches the first match of the tie by beating #Julie…","1522969944.0","",""
"0.0","RT @Sports_NDTV: #GC2018: India take on Malaysia in Women's Pool A hockey match\n\n#GC2018Hockey\n\nLive: https://t.co/PmLNYihNxP https://t.co/…","1522969709.0","",""
"-0.2333333333333333","RT @Sports_NDTV: India's Amritha Reghunath, Sonali Mayanglambam fail to qualify for medal round in Women's 3000m Individual Pursuit Cycling…","1522969515.0","",""
